TeamName,StadiumName
Arsenal,Emirates Stadium
AFC Bournemouth,Vitality Stadium
Brighton and Hove Albion,Amex Stadium
Burnley,Turf Moor
Cardiff City,Cardiff City Stadium
Chelsea,Stamford Bridge
Crystal Palace,Selhurst Park
Everton,Goodison Park
Fulham,Craven Cottage
Huddersfield Town,John Smith's Stadium
Leicester City,King Power Stadium
Liverpool,Anfield
Manchester City,Etihad Stadium
Manchester United,Old Trafford
Newcastle United,St. James' Park
Southampton,St. Mary's Stadium
Tottenham Hotspur,Wembley Stadium
Watford,Vicarage Road
West Ham United,London Stadium
Wolverhampton Wanderers,Molineux Stadium
